"","Entity","max_yield","max_crop","sd"
"1","Eritrea",4.61343846153846,"Potatoes (tonnes per hectare)_fn1",3.07969928260237
"2","Chad",6.43388793103448,"Potatoes (tonnes per hectare)_fn1",1.86398231714352
"3","Mauritania",7.03211896551724,"Potatoes (tonnes per hectare)_fn1",2.6885163574676
"4","Ethiopia PDR",8,"Potatoes (tonnes per hectare)_fn1",0
"5","Eastern Africa",8.11864655172414,"Potatoes (tonnes per hectare)_fn1",1.97762338326602
"6","Bhutan",8.24722068965517,"Potatoes (tonnes per hectare)_fn1",1.8967029624152
"7","Moldova",8.33157407407407,"Potatoes (tonnes per hectare)_fn1",2.12248293090764
"8","Nepal",8.63959827586207,"Potatoes (tonnes per hectare)_fn1",3.20476483246439
"9","Serbia and Montenegro",8.66481428571429,"Potatoes (tonnes per hectare)_fn1",1.69338491914733
"10","Yugoslavia",8.67046451612903,"Potatoes (tonnes per hectare)_fn1",0.795261877433418
"12","Mongolia",8.99732413793103,"Potatoes (tonnes per hectare)_fn1",2.46520432157792
"14","Bosnia and Herzegovina",9.32263703703704,"Potatoes (tonnes per hectare)_fn1",1.46860992835144
"15","Ethiopia",9.45912307692308,"Potatoes (tonnes per hectare)_fn1",2.37322328023432
"16","New Caledonia",10.0784982758621,"Potatoes (tonnes per hectare)_fn1",3.9610718094755
"17","Qatar",10.174075,"Potatoes (tonnes per hectare)_fn1",2.54053601686312
"18","Africa",10.5553913793103,"Potatoes (tonnes per hectare)_fn1",2.18588383668214
"20","Uruguay",10.7469724137931,"Potatoes (tonnes per hectare)_fn1",5.77608103343778
"21","Mozambique",10.9018137931034,"Potatoes (tonnes per hectare)_fn1",3.22713126674278
"22","Zambia",10.9413172413793,"Potatoes (tonnes per hectare)_fn1",3.99520814174154
"23","Georgia",11.1648592592593,"Potatoes (tonnes per hectare)_fn1",1.74722969611001
"24","USSR",11.2097096774194,"Potatoes (tonnes per hectare)_fn1",1.32471543544386
"25","North Korea",11.3623568965517,"Potatoes (tonnes per hectare)_fn1",1.14954564313617
"26","Sri Lanka",11.3859275862069,"Potatoes (tonnes per hectare)_fn1",3.15749938805084
"27","Saint Kitts and Nevis",11.5541925925926,"Potatoes (tonnes per hectare)_fn1",5.51233342159992
"28","Libya",11.6865017241379,"Potatoes (tonnes per hectare)_fn1",6.60106331651147
"29","Albania",11.9647482758621,"Potatoes (tonnes per hectare)_fn1",6.82861082790871
"30","Yemen",12.0983051724138,"Potatoes (tonnes per hectare)_fn1",3.64580204760539
"31","Bulgaria",12.1781568965517,"Potatoes (tonnes per hectare)_fn1",2.7106118005022
"32","Tunisia",12.2355551724138,"Potatoes (tonnes per hectare)_fn1",3.13299883387194
"34","Azerbaijan",12.5161518518519,"Potatoes (tonnes per hectare)_fn1",2.80959054344639
"35","Russia",12.6196740740741,"Potatoes (tonnes per hectare)_fn1",2.20988117146472
"36","Iceland",12.8904120689655,"Potatoes (tonnes per hectare)_fn1",3.65491447261526
"37","Serbia",12.9500538461538,"Potatoes (tonnes per hectare)_fn1",2.82278337066313
"38","Macedonia",13.0617925925926,"Potatoes (tonnes per hectare)_fn1",1.68412999998993
"39","Romania",13.154425862069,"Potatoes (tonnes per hectare)_fn1",3.25955776838819
"40","Ukraine",13.2745592592593,"Potatoes (tonnes per hectare)_fn1",2.62327888459334
"41","Croatia",13.3974296296296,"Potatoes (tonnes per hectare)_fn1",4.04744232218274
"43","Pakistan",13.50645,"Potatoes (tonnes per hectare)_fn1",4.57558898581431
"44","Malta",13.698225862069,"Potatoes (tonnes per hectare)_fn1",6.82921826264127
"45","Afghanistan",13.7658379310345,"Potatoes (tonnes per hectare)_fn1",3.02589842559937
"46","Reunion",13.8008482758621,"Potatoes (tonnes per hectare)_fn1",4.42981630676303
"47","Lithuania",13.8525185185185,"Potatoes (tonnes per hectare)_fn1",2.53061324219387
"48","Algeria",13.8786120689655,"Potatoes (tonnes per hectare)_fn1",8.61466651581033
"49","Faeroe Islands",13.9420620689655,"Potatoes (tonnes per hectare)_fn1",0.723323437355118
"50","Kazakhstan",13.9535925925926,"Potatoes (tonnes per hectare)_fn1",3.78399352332406
"51","Haiti",14.1476051724138,"Potatoes (tonnes per hectare)_fn1",1.41977393214336
"52","Montenegro",14.8342153846154,"Potatoes (tonnes per hectare)_fn1",2.25983626834857
"53","Chile",14.9648689655172,"Potatoes (tonnes per hectare)_fn1",5.6754328320667
"54","Iraq",15.0700275862069,"Potatoes (tonnes per hectare)_fn1",4.18442124949923
"55","Kyrgyzstan",15.1628777777778,"Potatoes (tonnes per hectare)_fn1",2.8206571974703
"56","Estonia",15.1831407407407,"Potatoes (tonnes per hectare)_fn1",2.55523778966614
"57","Zimbabwe",15.2340310344828,"Potatoes (tonnes per hectare)_fn1",1.76714302752259
"58","Brazil",15.254874137931,"Potatoes (tonnes per hectare)_fn1",7.66921827370106
"59","Lesotho",15.3229293103448,"Potatoes (tonnes per hectare)_fn1",1.3163416500484
"60","Latvia",15.526837037037,"Potatoes (tonnes per hectare)_fn1",2.93126737963005
"64","Czechoslovakia",16.1826125,"Potatoes (tonnes per hectare)_fn1",2.51804965716877
"65","Caribbean",16.2502275862069,"Potatoes (tonnes per hectare)_fn1",4.98409358384842
"66","Armenia",16.2781592592593,"Potatoes (tonnes per hectare)_fn1",4.0200072278216
"67","Turkmenistan",16.3355962962963,"Potatoes (tonnes per hectare)_fn1",5.4147625089963
"68","Syria",16.4840275862069,"Potatoes (tonnes per hectare)_fn1",3.73664784860559
"69","Slovakia",16.6209115384615,"Potatoes (tonnes per hectare)_fn1",3.21520784651032
"70","El Salvador",16.7353862068966,"Potatoes (tonnes per hectare)_fn1",7.80505015058454
"71","Belarus",17.054937037037,"Potatoes (tonnes per hectare)_fn1",4.15283389896847
"72","Greece",17.4946655172414,"Potatoes (tonnes per hectare)_fn1",4.61252842195595
"73","Hungary",17.5004120689655,"Potatoes (tonnes per hectare)_fn1",5.9260087442451
"74","Cuba",17.5835862068966,"Potatoes (tonnes per hectare)_fn1",5.50652113271797
"75","Morocco",17.9515413793103,"Potatoes (tonnes per hectare)_fn1",6.99884016398894
"76","Tajikistan",18.3556518518519,"Potatoes (tonnes per hectare)_fn1",5.47726683605627
"78","Iran",18.5716603448276,"Potatoes (tonnes per hectare)_fn1",7.22930698345502
"79","Poland",18.5827137931034,"Potatoes (tonnes per hectare)_fn1",3.43465192865805
"80","South Korea",18.7068344827586,"Potatoes (tonnes per hectare)_fn1",6.73608409354287
"81","Bermuda",19.3216293103448,"Potatoes (tonnes per hectare)_fn1",5.80824236499557
"82","United Arab Emirates",19.7480545454545,"Potatoes (tonnes per hectare)_fn1",6.25127816040976
"83","Italy",19.7690293103448,"Potatoes (tonnes per hectare)_fn1",5.35261623343755
"84","Finland",19.9016810344828,"Potatoes (tonnes per hectare)_fn1",5.06029851776871
"85","Uzbekistan",20.2376111111111,"Potatoes (tonnes per hectare)_fn1",8.41594798930685
"86","Jordan",20.5086396551724,"Potatoes (tonnes per hectare)_fn1",9.34389574187697
"87","Canada",21.245275862069,"Potatoes (tonnes per hectare)_fn1",9.93872089564409
"88","Slovenia",21.5444259259259,"Potatoes (tonnes per hectare)_fn1",4.15782145402286
"89","Czech Republic",23.7441115384615,"Potatoes (tonnes per hectare)_fn1",3.96013295083152
"90","Norway",24.5293517241379,"Potatoes (tonnes per hectare)_fn1",2.58938302061574
"91","Austria",26.8405896551724,"Potatoes (tonnes per hectare)_fn1",4.14979185395113
"92","Australia",27.4340620689655,"Potatoes (tonnes per hectare)_fn1",8.132515923409
"93","Japan",27.584474137931,"Potatoes (tonnes per hectare)_fn1",4.94553558700186
"95","Ireland",28.4502948275862,"Potatoes (tonnes per hectare)_fn1",6.03049382966452
"96","Sweden",28.9388551724138,"Potatoes (tonnes per hectare)_fn1",4.8580564412867
"97","Oceania",29.0440810344828,"Potatoes (tonnes per hectare)_fn1",8.46098098224519
"100","Luxembourg",31.0703894736842,"Potatoes (tonnes per hectare)_fn1",3.24249708676212
"101","Germany",31.248825862069,"Potatoes (tonnes per hectare)_fn1",9.35886894396818
"102","Palestine",31.592152,"Potatoes (tonnes per hectare)_fn1",3.89277527822589
"103","France",32.3862896551724,"Potatoes (tonnes per hectare)_fn1",9.29762368843894
"105","Denmark",32.9736982758621,"Potatoes (tonnes per hectare)_fn1",7.60190679938186
"106","United States",34.9423948275862,"Potatoes (tonnes per hectare)_fn1",8.4563793197471
"107","United Kingdom",35.016625862069,"Potatoes (tonnes per hectare)_fn1",7.17909730013168
"108","New Zealand",35.8815275862069,"Potatoes (tonnes per hectare)_fn1",9.9853201166441
"109","Switzerland",36.3951465517241,"Potatoes (tonnes per hectare)_fn1",5.98419498243456
"111","Netherlands",39.5544793103448,"Potatoes (tonnes per hectare)_fn1",5.27022509984851
"112","Belgium",44.4933,"Potatoes (tonnes per hectare)_fn1",4.76527372292972
